locus_tag,organism,gene_symbol,source_annotation,source_category,in_current_refseq,protein_id,refseq_product,refseq_still_hypothetical,best_hit_method,best_hit_database,best_hit_id,best_hit_description,best_hit_evalue,best_hit_query_coverage,best_hit_query_range,n_evidence_rows,confidence_call,evidence_level,reannotated_category
all0422,anabaena,-,unknown protein,Hypothetical,True,WP_044520616.1,scytonemin biosynthesis PEP-CTERM protein ScyF,False,HMMER hmmscan,Pfam-A,PF16288.13,Domain of unknown function (DUF4934),5.5e-11,0.1884,67-141,57,suggestive,domain (Pfam HMM match) -- NOT a whole-protein orthology claim,
all0423,anabaena,-,unknown protein,Hypothetical,True,WP_010994599.1,ScyD/ScyE family protein,False,HMMER hmmscan,Pfam-A,PF13449.13,Esterase-like activity of phytase,0.0088,0.3783,173-343,31,unknown,domain (Pfam HMM match) -- NOT a whole-protein orthology claim,
all0424,anabaena,-,unknown protein,Hypothetical,True,WP_010994600.1,ScyD/ScyE family protein,False,HMMER hmmscan,Pfam-A,PF07589.17,PEP-CTERM protein-sorting motif,0.0067,0.0571,386-409,16,unknown,domain (Pfam HMM match) -- NOT a whole-protein orthology claim,
all0425,anabaena,-,unknown protein,Hypothetical,True,WP_010994601.1,scytonemin biosynthesis cyclase/decarboxylase ScyC,False,HMMER hmmscan,Pfam-A,PF30732.1,Domain of unknown function (DUF8713),4.3e-64,0.4424,159-304,4,confident,domain (Pfam HMM match) -- NOT a whole-protein orthology claim,
all0432,anabaena,-,hypothetical protein,Hypothetical,True,WP_010994608.1,zinc-dependent metalloprotease,False,HMMER hmmscan,Pfam-A,PF16313.12,Met-zincin,1.4e-93,0.3553,508-836,13,suggestive,domain (Pfam HMM match) -- NOT a whole-protein orthology claim,
all0434,anabaena,-,unknown protein,Hypothetical,True,WP_010994610.1,hypothetical protein,True,HMMER hmmscan,Pfam-A,PF00462.31,Glutaredoxin,0.69,0.4182,3-48,2,unknown,domain (Pfam HMM match) -- NOT a whole-protein orthology claim,
all0435,anabaena,-,unknown protein,Hypothetical,True,WP_010994611.1,hypothetical protein,True,HMMER hmmscan,Pfam-A,PF15738.12,"Bacterial toxin of type II toxin-antitoxin system, YafQ",0.0031,0.6406,5-86,4,unknown,domain (Pfam HMM match) -- NOT a whole-protein orthology claim,
all0437,anabaena,-,hypothetical protein,Hypothetical,True,WP_010994613.1,small RNA NsiR4-regulated ssr1528 family protein,False,HMMER hmmscan,Pfam-A,PF13319.12,Protein of unknown function (DUF4090),2.4e-45,0.8317,14-97,1,confident,domain (Pfam HMM match) -- NOT a whole-protein orthology claim,
all0443,anabaena,-,hypothetical protein,Hypothetical,True,WP_010994619.1,tetratricopeptide repeat protein,False,HMMER hmmscan,Pfam-A,PF13414.13,TPR repeat,1.5e-09,0.1448,119-160,132,suggestive,domain (Pfam HMM match) -- NOT a whole-protein orthology claim,
all0454,anabaena,-,unknown protein,Hypothetical,True,WP_010994630.1,AlbA family DNA-binding domain-containing protein,False,HMMER hmmscan,Pfam-A,PF04326.20,"Schlafen, AlbA_2",3.4e-16,0.4025,22-149,2,confident,domain (Pfam HMM match) -- NOT a whole-protein orthology claim,
all0457,anabaena,-,hypothetical protein,Hypothetical,True,WP_044520642.1,ChaB family protein,False,HMMER hmmscan,Pfam-A,PF06150.18,ChaB,3.5e-18,0.2118,197-250,6,suggestive,domain (Pfam HMM match) -- NOT a whole-protein orthology claim,
all0458,anabaena,-,hypothetical protein,Hypothetical,True,WP_010994634.1,Dps family protein,False,HMMER hmmscan,Pfam-A,PF00210.31,Ferritin-like domain,1.2e-30,0.7933,17-158,2,confident,domain (Pfam HMM match) -- NOT a whole-protein orthology claim,
all0459,anabaena,-,unknown protein,Hypothetical,True,WP_010994635.1,hypothetical protein,True,,,,,,,,0,unknown,domain (Pfam HMM match) -- NOT a whole-protein orthology claim,
all0462,anabaena,-,hypothetical protein,Hypothetical,True,WP_010994638.1,translocation/assembly module TamB domain-containing protein,False,HMMER hmmscan,Pfam-A,PF04357.20,TamB C-terminal domain,8.4e-71,0.228,1413-1829,16,suggestive,domain (Pfam HMM match) -- NOT a whole-protein orthology claim,
all0463,anabaena,-,unknown protein,Hypothetical,True,WP_010994639.1,hypothetical protein,True,HMMER hmmscan,Pfam-A,PF28882.1,Domain of unknown function (DUF8473),0.068,0.162,127-155,2,unknown,domain (Pfam HMM match) -- NOT a whole-protein orthology claim,
all0464,anabaena,-,unknown protein,Hypothetical,True,WP_010994640.1,TrbI/VirB10 family protein,False,HMMER hmmscan,Pfam-A,PF03743.20,Bacterial conjugation TrbI-like protein,1.9e-10,0.4269,290-505,2,suggestive,domain (Pfam HMM match) -- NOT a whole-protein orthology claim,
all0465,anabaena,-,unknown protein,Hypothetical,True,WP_010994641.1,hypothetical protein,True,HMMER hmmscan,Pfam-A,PF18389.9,TrmO C-terminal domain,0.22,0.2522,36-93,1,unknown,domain (Pfam HMM match) -- NOT a whole-protein orthology claim,
all0466,anabaena,-,unknown protein,Hypothetical,True,WP_044520646.1,hypothetical protein,True,,,,,,,,0,unknown,domain (Pfam HMM match) -- NOT a whole-protein orthology claim,
all0467,anabaena,-,unknown protein,Hypothetical,True,WP_010994643.1,hypothetical protein,True,,,,,,,,0,unknown,domain (Pfam HMM match) -- NOT a whole-protein orthology claim,
all0468,anabaena,-,unknown protein,Hypothetical,True,WP_044520647.1,hypothetical protein,True,HMMER hmmscan,Pfam-A,PF26710.1,Myomegalin domain,0.15,0.2099,140-194,7,unknown,domain (Pfam HMM match) -- NOT a whole-protein orthology claim,
all0469,anabaena,-,unknown protein,Hypothetical,True,WP_044520648.1,hypothetical protein,True,HMMER hmmscan,Pfam-A,PF01935.24,"Helicase HerA, central domain",0.02,0.0536,492-540,10,unknown,domain (Pfam HMM match) -- NOT a whole-protein orthology claim,
all0470,anabaena,-,unknown protein,Hypothetical,True,WP_010994646.1,hypothetical protein,True,HMMER hmmscan,Pfam-A,PF06703.17,Microsomal signal peptidase 25 kDa subunit (SPC25),0.68,0.136,32-48,1,unknown,domain (Pfam HMM match) -- NOT a whole-protein orthology claim,
all0471,anabaena,-,unknown protein,Hypothetical,True,WP_010994647.1,hypothetical protein,True,,,,,,,,0,unknown,domain (Pfam HMM match) -- NOT a whole-protein orthology claim,
all0473,anabaena,-,hypothetical protein,Hypothetical,True,WP_010994649.1,ZIP family metal transporter,False,HMMER hmmscan,Pfam-A,PF02535.29,ZIP Zinc transporter,1.2e-26,0.5409,114-252,5,confident,domain (Pfam HMM match) -- NOT a whole-protein orthology claim,
all0476,anabaena,-,hypothetical protein,Hypothetical,True,WP_010994652.1,nuclear transport factor 2 family protein,False,HMMER hmmscan,Pfam-A,PF30546.1,Domain of unknown function (DUF8623),2.5e-43,0.3613,175-273,2,suggestive,domain (Pfam HMM match) -- NOT a whole-protein orthology claim,
all0479,anabaena,-,unknown protein,Hypothetical,True,WP_010994655.1,P-loop NTPase fold protein,False,HMMER hmmscan,Pfam-A,PF07693.21,KAP family P-loop domain,5.8e-07,0.4108,39-220,8,suggestive,domain (Pfam HMM match) -- NOT a whole-protein orthology claim,
all0481,anabaena,-,unknown protein,Hypothetical,True,WP_010994657.1,SRPBCC family protein,False,HMMER hmmscan,Pfam-A,PF03364.26,Polyketide cyclase / dehydrase and lipid transport,3.3e-11,0.6578,53-175,4,confident,domain (Pfam HMM match) -- NOT a whole-protein orthology claim,
all0492,anabaena,-,hypothetical protein,Hypothetical,True,WP_010994668.1,glycerol-3-phosphate 1-O-acyltransferase PlsY,False,HMMER hmmscan,Pfam-A,PF02660.22,Glycerol-3-phosphate acyltransferase,1.4e-59,0.8805,11-209,2,confident,domain (Pfam HMM match) -- NOT a whole-protein orthology claim,
all0493,anabaena,-,hypothetical protein,Hypothetical,True,WP_010994669.1,GumC family protein,False,HMMER hmmscan,Pfam-A,PF13614.13,AAA domain,2.2e-09,0.1568,530-643,15,suggestive,domain (Pfam HMM match) -- NOT a whole-protein orthology claim,
all0495,anabaena,-,unknown protein,Hypothetical,True,WP_010994671.1,polysaccharide biosynthesis/export family protein,False,HMMER hmmscan,Pfam-A,PF02563.22,Polysaccharide biosynthesis/export protein,3.7e-17,0.1659,85-158,11,suggestive,domain (Pfam HMM match) -- NOT a whole-protein orthology claim,
all0496,anabaena,-,unknown protein,Hypothetical,True,WP_010994672.1,cyanoexosortase B system-associated protein,False,,,,,,,,0,unknown,domain (Pfam HMM match) -- NOT a whole-protein orthology claim,
all0497,anabaena,-,unknown protein,Hypothetical,True,WP_010994673.1,cyanoexosortase B,False,HMMER hmmscan,Pfam-A,PF09721.16,Transmembrane exosortase (Exosortase_EpsH),2.2e-59,0.7418,47-273,5,confident,domain (Pfam HMM match) -- NOT a whole-protein orthology claim,
all0513,anabaena,-,hypothetical protein,Hypothetical,True,WP_010994689.1,thioredoxin family protein,False,HMMER hmmscan,Pfam-A,PF00578.28,AhpC/TSA family,9.6e-18,0.6738,11-136,8,confident,domain (Pfam HMM match) -- NOT a whole-protein orthology claim,
all0539,anabaena,-,hypothetical protein,Hypothetical,True,WP_010994715.1,HD domain-containing protein,False,,,,,,,,0,unknown,domain (Pfam HMM match) -- NOT a whole-protein orthology claim,
all0544,anabaena,-,unknown protein,Hypothetical,True,WP_010994720.1,protealysin inhibitor emfourin,False,HMMER hmmscan,Pfam-A,PF20242.4,Emfourin,1.4e-24,0.9074,5-102,2,confident,domain (Pfam HMM match) -- NOT a whole-protein orthology claim,
all0562,anabaena,-,hypothetical protein,Hypothetical,True,WP_010994738.1,hypothetical protein,True,HMMER hmmscan,Pfam-A,PF13844.13,Glycosyl transferase family 41,1.9e-28,0.2571,536-725,33,suggestive,domain (Pfam HMM match) -- NOT a whole-protein orthology claim,
all0565,anabaena,-,unknown protein,Hypothetical,True,WP_010994741.1,hypothetical protein,True,HMMER hmmscan,Pfam-A,PF16433.11,Domain of unknown function (DUF5030),0.0027,0.5685,44-126,1,unknown,domain (Pfam HMM match) -- NOT a whole-protein orthology claim,
all0567,anabaena,-,hypothetical protein,Hypothetical,True,WP_010994743.1,CHAD domain-containing protein,False,HMMER hmmscan,Pfam-A,PF05235.20,CHAD domain,3.7e-65,0.7576,19-268,17,confident,domain (Pfam HMM match) -- NOT a whole-protein orthology claim,
all0575,anabaena,-,unknown protein,Hypothetical,True,WP_010994751.1,TIGR03792 family protein,False,HMMER hmmscan,Pfam-A,PF03992.23,Antibiotic biosynthesis monooxygenase,0.00011,0.5673,8-66,3,suggestive,domain (Pfam HMM match) -- NOT a whole-protein orthology claim,
all0589,anabaena,-,unknown protein,Hypothetical,True,WP_010994765.1,hypothetical protein,True,,,,,,,,0,unknown,domain (Pfam HMM match) -- NOT a whole-protein orthology claim,
all0591,anabaena,-,hypothetical protein,Hypothetical,True,WP_010994767.1,hypothetical protein,True,HMMER hmmscan,Pfam-A,PF29110.1,UMAG_10076 N-terminal domain,4.1,0.2195,10-36,3,unknown,domain (Pfam HMM match) -- NOT a whole-protein orthology claim,
all0592,anabaena,-,hypothetical protein,Hypothetical,True,WP_010994768.1,ABC1 kinase family protein,False,HMMER hmmscan,Pfam-A,PF03109.23,ABC1 atypical kinase-like domain,1.3e-82,0.4248,101-343,9,confident,domain (Pfam HMM match) -- NOT a whole-protein orthology claim,
all0596,anabaena,-,unknown protein,Hypothetical,True,WP_010994772.1,(2Fe-2S) ferredoxin domain-containing protein,False,HMMER hmmscan,Pfam-A,PF01257.26,Thioredoxin-like [2Fe-2S] ferredoxin,1.4e-06,0.3607,110-188,3,suggestive,domain (Pfam HMM match) -- NOT a whole-protein orthology claim,
all0601,anabaena,cnaT,a protein required for expression of the nitrate assimilation nirA operon,Hypothetical,True,WP_010994777.1,anthranilate phosphoribosyltransferase family protein,False,HMMER hmmscan,Pfam-A,PF02885.23,"Glycosyl transferase family, helical bundle domain",1.6e-15,0.1854,6-71,4,suggestive,domain (Pfam HMM match) -- NOT a whole-protein orthology claim,
all0604,anabaena,-,hypothetical protein,Hypothetical,True,WP_010994780.1,type II toxin-antitoxin system RelE/ParE family toxin,False,HMMER hmmscan,Pfam-A,PF05973.21,Phage derived protein Gp49-like (DUF891),4.8e-20,0.7815,14-106,1,confident,domain (Pfam HMM match) -- NOT a whole-protein orthology claim,
all0605,anabaena,-,NirB-like protein,Hypothetical,True,WP_010994781.1,HEAT repeat domain-containing protein,False,HMMER hmmscan,Pfam-A,PF29232.1,Spirochaete HEAT repeat protein,1.1e-14,0.5,151-349,74,confident,domain (Pfam HMM match) -- NOT a whole-protein orthology claim,
all0615,anabaena,-,hypothetical protein,Hypothetical,True,WP_010994791.1,ferritin-like domain-containing protein,False,HMMER hmmscan,Pfam-A,PF05974.19,Domain of unknown function (DUF892),3e-48,0.8525,16-171,19,confident,domain (Pfam HMM match) -- NOT a whole-protein orthology claim,
all0619,anabaena,-,unknown protein,Hypothetical,True,WP_010994795.1,hypothetical protein,True,HMMER hmmscan,Pfam-A,PF24361.2,Domain of unknown function (DUF7517),0.067,0.3892,83-147,3,unknown,domain (Pfam HMM match) -- NOT a whole-protein orthology claim,
all0620,anabaena,-,hypothetical protein,Hypothetical,True,WP_044522723.1,cupin domain-containing protein,False,HMMER hmmscan,Pfam-A,PF07883.18,Cupin domain,3.4e-09,0.5263,42-101,3,suggestive,domain (Pfam HMM match) -- NOT a whole-protein orthology claim,
all0621,anabaena,-,hypothetical protein,Hypothetical,True,WP_010994797.1,SAM-dependent methyltransferase,False,HMMER hmmscan,Pfam-A,PF13649.13,Methyltransferase domain,1e-12,0.3755,48-145,26,suggestive,domain (Pfam HMM match) -- NOT a whole-protein orthology claim,
all0625,anabaena,-,hypothetical protein,Hypothetical,True,WP_044520681.1,class I SAM-dependent methyltransferase,False,HMMER hmmscan,Pfam-A,PF05724.18,Thiopurine S-methyltransferase (TPMT),9.6e-16,0.69,41-198,9,confident,domain (Pfam HMM match) -- NOT a whole-protein orthology claim,
all0630,anabaena,-,hypothetical protein,Hypothetical,True,WP_010994806.1,KGK domain-containing protein,False,HMMER hmmscan,Pfam-A,PF08872.16,KGK domain,7e-44,0.9453,3-123,1,confident,domain (Pfam HMM match) -- NOT a whole-protein orthology claim,
all0631,anabaena,-,hypothetical protein,Hypothetical,True,WP_044520683.1,KGK domain-containing protein,False,HMMER hmmscan,Pfam-A,PF08872.16,KGK domain,3.1e-42,0.9457,3-124,3,confident,domain (Pfam HMM match) -- NOT a whole-protein orthology claim,
all0632,anabaena,-,unknown protein,Hypothetical,True,WP_010994808.1,hypothetical protein,True,,,,,,,,0,unknown,domain (Pfam HMM match) -- NOT a whole-protein orthology claim,
all0634,anabaena,-,hypothetical protein,Hypothetical,True,WP_010994810.1,universal stress protein,False,HMMER hmmscan,Pfam-A,PF00582.33,Universal stress protein family,1.2e-34,0.9017,1-156,3,confident,domain (Pfam HMM match) -- NOT a whole-protein orthology claim,
all0641,anabaena,-,hypothetical protein,Hypothetical,True,WP_010994817.1,YkvA family protein,False,HMMER hmmscan,Pfam-A,PF06803.18,Protein of unknown function (DUF1232),2.7e-14,0.3636,22-57,1,suggestive,domain (Pfam HMM match) -- NOT a whole-protein orthology claim,
all0646,anabaena,-,hypothetical protein,Hypothetical,True,WP_010994822.1,photosystem II biogenesis protein Psp29,False,HMMER hmmscan,Pfam-A,PF11264.14,Thylakoid formation protein,3.1e-100,0.927,6-221,8,confident,domain (Pfam HMM match) -- NOT a whole-protein orthology claim,
all0665,anabaena,-,unknown protein,Hypothetical,False,,,True,,,,,,,,0,unknown,domain (Pfam HMM match) -- NOT a whole-protein orthology claim,
all0666,anabaena,-,unknown protein,Hypothetical,True,WP_231865508.1,DUF1822 family protein,False,HMMER hmmscan,Pfam-A,PF08852.18,Protein of unknown function (DUF1822),9.8e-85,0.9268,26-354,2,confident,domain (Pfam HMM match) -- NOT a whole-protein orthology claim,
all0667,anabaena,-,unknown protein,Hypothetical,True,WP_010994843.1,hypothetical protein,True,,,,,,,,0,unknown,domain (Pfam HMM match) -- NOT a whole-protein orthology claim,
all0675,anabaena,-,unknown protein,Hypothetical,True,WP_010994851.1,hypothetical protein,True,HMMER hmmscan,Pfam-A,PF14540.13,Nucleotidyltransferase-like,0.24,0.4745,28-92,1,unknown,domain (Pfam HMM match) -- NOT a whole-protein orthology claim,
all0684,anabaena,-,unknown protein,Hypothetical,True,WP_010994860.1,ATP-binding protein,False,HMMER hmmscan,Pfam-A,PF14516.13,AAA-like domain,2.8e-05,0.2578,129-261,10,suggestive,domain (Pfam HMM match) -- NOT a whole-protein orthology claim,
all0686,anabaena,-,unknown protein,Hypothetical,False,,,True,,,,,,,,0,unknown,domain (Pfam HMM match) -- NOT a whole-protein orthology claim,
all0703,anabaena,-,hypothetical protein,Hypothetical,True,WP_010994878.1,sulfite exporter TauE/SafE family protein,False,HMMER hmmscan,Pfam-A,PF01925.26,Sulfite exporter TauE/SafE,6.1e-20,0.9268,8-121,3,confident,domain (Pfam HMM match) -- NOT a whole-protein orthology claim,
all0708,anabaena,-,unknown protein,Hypothetical,True,WP_044520705.1,methanogen output domain 1-containing protein,False,HMMER hmmscan,Pfam-A,PF18546.7,Methanogen output domain 1,9.4e-21,0.7528,27-160,2,confident,domain (Pfam HMM match) -- NOT a whole-protein orthology claim,
all0711,anabaena,-,unknown protein,Hypothetical,True,WP_010994886.1,Hsp70 family protein,False,HMMER hmmscan,Pfam-A,PF21523.4,"Plasmid segregation protein ParM, C-terminal",0.058,0.0688,164-207,8,unknown,domain (Pfam HMM match) -- NOT a whole-protein orthology claim,
all0712,anabaena,-,unknown protein,Hypothetical,True,WP_010994887.1,hypothetical protein,True,HMMER hmmscan,Pfam-A,PF09467.16,Hypothetical protein Yopt,0.24,0.2475,130-203,6,unknown,domain (Pfam HMM match) -- NOT a whole-protein orthology claim,
all0714,anabaena,-,hypothetical protein,Hypothetical,True,WP_044520708.1,hypothetical protein,True,HMMER hmmscan,Pfam-A,PF16093.11,Proteasome assembly chaperone 4,0.12,0.4231,6-49,1,unknown,domain (Pfam HMM match) -- NOT a whole-protein orthology claim,
all0721,anabaena,-,unknown protein,Hypothetical,True,WP_010994896.1,hypothetical protein,True,HMMER hmmscan,Pfam-A,PF04107.19,Glutamate-cysteine ligase family 2(GCS2),0.00047,0.3414,76-202,2,suggestive,domain (Pfam HMM match) -- NOT a whole-protein orthology claim,
all0726,anabaena,-,unknown protein,Hypothetical,True,WP_231865509.1,hypothetical protein,True,,,,,,,,0,unknown,domain (Pfam HMM match) -- NOT a whole-protein orthology claim,
all0736,anabaena,-,hypothetical protein,Hypothetical,True,WP_044520712.1,acetoacetate decarboxylase family protein,False,HMMER hmmscan,Pfam-A,PF06314.17,Acetoacetate decarboxylase (ADC),8.7e-30,0.9623,1-204,1,confident,domain (Pfam HMM match) -- NOT a whole-protein orthology claim,
all0745,anabaena,-,hypothetical protein,Hypothetical,True,WP_010994919.1,ribosome biogenesis GTPase YlqF,False,HMMER hmmscan,Pfam-A,PF01926.30,50S ribosome-binding GTPase,5.4e-15,0.2116,132-193,17,suggestive,domain (Pfam HMM match) -- NOT a whole-protein orthology claim,
all0746,anabaena,-,hypothetical protein,Hypothetical,False,,,True,,,,,,,,0,unknown,domain (Pfam HMM match) -- NOT a whole-protein orthology claim,
all0748,anabaena,-,hypothetical protein,Hypothetical,True,WP_010994922.1,PAM68 family protein,False,HMMER hmmscan,Pfam-A,PF11947.14,Photosynthesis affected mutant 68,1.4e-60,0.9359,7-152,2,confident,domain (Pfam HMM match) -- NOT a whole-protein orthology claim,
all0753,anabaena,-,hypothetical protein,Hypothetical,True,WP_010994927.1,type II toxin-antitoxin system VapC family toxin,False,HMMER hmmscan,Pfam-A,PF01850.28,PIN domain,1.3e-13,0.9237,2-122,2,confident,domain (Pfam HMM match) -- NOT a whole-protein orthology claim,
